Text	Classificacao
RT @djairgalvao: Riachuelo, do ex-candidato Flávio Rocha, fecha e põe à venda megacentro lojístico que tinha em Guarulhos. Logo ele que def…	Negativo
"o cara tem uma loja cujo público consumidor é justamente a galera que cresceu com lula
quem compra na riachuelo é a… https://t.co/LVF7AVRbGT"	Neutro
@sugarrjhon essa parada de ser charlatado pelas gay do caixa é muito coisa de renner/riachuelo KKKKKKKK	Negativo
apesar dos pesares, a lapa ainda conta com alguns redutos de bom papo, futebol no telão, cerveja gelada e música ba… https://t.co/DECjAAe8Qg	Positivo
RT @canovelino: @djairgalvao Foda-se a Riachuelo	Negativo
"RT @eufelipegomes: @djairgalvao @marcelohceh Oi @djairgalvao
Não tenho muito ensumo sobre a informação acima, mas o CD da Riachuelo em Guar…"	Neutro
RT @GolpeNuncaMais: Melhor notícia do dia : a Riachuelo vai quebrar. https://t.co/LyjkQkptrW	Negativo
afferson... nem tem riachuelo na minha cidade kkkk obrigado, reizinho! — nossa, como não tem riachuelo na sua cidad… https://t.co/IR2O9sn69v	Negativo
RT @riachuelo: As tendências da próxima estação já chegaram na #Riachuelo. Confira a coleção completa com peças a partir de R$19,90 https:/…	Positivo
"RT @pense_livre: Com o dono da Riachuelo,  o da Centauro e agora o da Havan apoiando @jairbolsonaro fica claro duas coisas:
1-Quem gera emp…"	Positivo
A gnt sabe que é pobre quando vai na riachuelo pra passar perfume	Negativo
RT @RZapponi: Primeiro dono da Riachuelo, depois o da Centauro, agora o da Havan, os geradores de emprego todos em favor do Bolsonaro, não…	Positivo
Essas lojas, e a Riachuelo é uma delas, são fadadas ao fracasso. Não conheço a real situação da Empresa mas quando… https://t.co/HjJnNDKuxw	Negativo
as gay nunca vão parar de comprar na riachuelo e renner pq 1. preço razoável 2. divas pop tocando o dia todo	Positivo
To na @riachuelo. Não sei sinto nojo pelas declarações homofóbicas ou pelos homossexuais que trabalham na rede e pa… https://t.co/3LfZdTe5bf	Negativo
ta tocando the xx na riachuelo amém	Positivo
@wfucz É um que a Riachuelo tá vendendo, não sei o nome	Positivo
As cores da primavera podem estar no seu guarda-roupa! Passe já na Riachuelo e conheça a nova coleção. Peças a part… https://t.co/QjAwokKKd0	Positivo
"Você pode se vestir bem por pouco .
Agora não vem fazer a roupa de grife porque pobre quer vestir o que rico usa ..… https://t.co/l7T1VWkx8y"	Neutro
@GugaFreitas riachuelo e nubank. :)	Positivo
RT @robertvarga2001: Riachuelo, do ex-candidato Flávio Rocha, fecha e põe à venda megacentro lojístico da empresa em Guarulhos. Logo ele qu…	Negativo
Riachuelo me faliu hoje	Negativo
Vagas p/ Líder de Eletrônicos (Telefonia) - Belo Horizonte - Lojas Riachuelo - Belo Horizonte/MG - https://t.co/HgyAqU4IXH	Neutro
riachuelo arrasou com essa blusa e as de stranger things também estão uma graça https://t.co/EER2nheiht	Positivo
Bati mo papo, sobre piercings, com a moça do caixa da riachuelo	Positivo
@bicth_puteiro Riachuelo que fala é	Positivo
"Hoje O Povo Que Foi Comigo No Shopping Foi  Muito Anta Mds kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
#RIACHUELO"	Neutro
fiquei de boca aberta com a coleção da Riachuelo	Positivo
