Text	Classificacao
Aff que ódio eu tô querendo escutar uma música aí eu vô lá e pesquiso E QUANDO EU CLICO NA MUSICA A PORR* DA MÚSICA NAO VEM	Negativo
Toda vez que abro o app ele começa a baixar novamente minhas músicas. A cada atualização piora. Fecha sozinho enquanto escuto minhas playlists. Não carrega a aba navegar e ainda trava qnd tento escutar offline minhas playlists que baixei	Negativo
Amo muito o app. Sabe, as vezes tenho uma certa preguiça de ver se a música tá acabando, seria bom desse pra ver mesmo com o celular bloqueiado, tipo sabe aquela bolinha q mostra a foto do artista, um círculo se fechando ao redor dela pra determinar o tempo seria legal....	Positivo
Péssimo, baixo a música hoje e daqui 1 hora o aplicativo apaga as músicas, estou pagando uma coisa que não posso utilizar fora do wifi, e gastar o 3g para baixar ou ouvir fora de casa é complicado. Consertem esse bug por gentileza. Gostaria de ouvir música quando quiser até porque pago para isso.	Negativo
Xperia XA - As músicas não estão aparecendo mais na tela de bloqueio! Tenho que entrar no aplicativo toda vez que tenho que trocar a música. Não sei se foi depois que me tornei Premium ou se foi depois de alguma atualização. E falta a opção de timer pra quem ouve música pra dormir	Negativo
O aplicativo é ótimo, mas existe um probleminha no meu, porém, não sei se é minha humilde ignorância por eu ser leigo ou se é realmente um problema no aplicativo, mas todas as vezes que há uma notificação em meu aparelho, seja ele uma pequena notificação de som em curtir algo no Facebook, o aplic…	Neutro
Quanto a qualidade do serviço, a quantidade de músicas, a qualidade do streaming dessas, a interface e os serviços como a criação de playlists exclusivas para você, não há o que se discutir, POREM quanto ao app, penso que falta muitas coisas comparado ao do Pc, o principal item que gostaria que …	Positivo
Muito bom! Falta algo bem relevante no Spotify Android: músicas em alta definição, sem perdas, o que já é oferecido pelo aplicativo Tidal para Android. O Tidal oferece um plano um pouco mais caro, mas com músicas em alta definição. A diferença de qualidade é bem perceptível.	Positivo
O serviço é muito bom, realmente vale a pena. Mas este app está se tornando uma vergonha, toneladas de atualizações que não acrescentam nada, e a cada uma o app continua com os mesmos problemas de lentidão. É um descaso incrível com a própria plataforma.	Neutro
A ideia de ter às músicas favoritas num só lugar é maravilhoso. Mas esse aplicativo é um lixo. Quando clico num álbum de um artista pra ver às músicas, daí em vez de tocar a música inteira ele só toca uma prévia. Que Raiva	Negativo
Os bugs tem aumentado com frequência, do nada para de tocar a música ... O app trava e eu sou obrigado a encerrar e abrir novamente... Meu dispositivo não é ruim, para que o app tenha tantos problemas .... Vou tentar desinstalar e instalar novamente ... Mas acredito que não resolva...	Neutro
A ideia é boa mas a versão gratuita é bem limitada. Mas o que realmente me irritou nesse app é ele colocar sugestões de músicas de artistas que eu não quero ouvir no meio das playlists dos artistas que eu ouço.	Negativo
Gosto muito do app, sou usuário premium, porém o app encerra a reprodução do nada sendo necessário abrir tudo novamente. O consumo de energia também está fora do comum, ate o android avisa sobre o consumo inadequado de energia. E venho tendo dificuldades para conectar via Bluetooth no DVD pionee…	Neutro
Quero saber porque meus familiares estao sendo removidos do plano familiar? Eu pago o plano para que todos na minha casa possam usar e agora meus familiares estao removidos do nada e não podem voltar ao plano. Só tem a opção de fazerem uma assinatura separada, ajeitem isso e espero no mínimo uma…	Negativo
Este App era ótimo antes da última atualização e eu tenho desde o inicio e pago 26,90 pra ficar o tempo todo reiniciando a música que para do nada e a lista fica mudando .......SOCORRO !!!vou cancelar Se continuar.Esta PESSIMO	Negativo
Eu amei esse aplicativo eu prefiro esse do que o deezer. mais presisa meismo ter que escutar musica no modo aleatorio? Quando eu escuto aparece outra musica que eu não queira ouvir vcs podem melhorar isso?	Positivo
O app era muito bom! Mas vem atualizando muito, na versão atual não tem encerram o suporte ao Ford Ka que não tem Sync 3, deveriam voltar a dar o suporte ao Ford Ka antes do modelo 2019	Positivo
É eu adoro o Spotify mas ele trava toda santa e benedita hora, e a sua playlist fica horrível se depender do App não dá e a rádio fica com músicas que você não gosta e não tem como você deletar	Positivo
Fiz a conta, paguei para ouvir as músicas, ainda estou no prazo, baixei as músicas e depois de alguns dias todas as músicas baixadas precisaram ser baixadas novamente! Além disso coloquei no modo para baixar pelo 4G e não vai!	Negativo
Quando baixo uma playlist com internete baixa tudo mas quando saio do wi-Fi ele exclui tudo e age como se eu estivesse entrando pela primeira vez falando pra criar uma conta😠	Negativo
Ultimamente tem travado direto . Mesmo no wi-fi não abre !diz que está sem internet, não carrega a música e toda hora tenho que baixar musica p ouvir off. Ah, e toda hora pausa a música que tá tocando. Tá chato , sou Premium não quero bugs pago p ouvir algo decente	Neutro
O spotify Premium é a maior enganação que existe! Você não pode baixar quantas músicas quiser. A quantidade de música é LIMITADA. Sem falar que você paga caro pra ter um App que demora a abrir e a carregar! Vou cancelar meu spotify Premium hoje mesmo e mudar de App.	Positivo
O app muito lento no xiaomi mi A1, demora para carregar: playlist, procura de música entres outro. Vou começar a testar outros apps de streaming de música.	Negativo
App bom. Só falta melhorar a rapidez da inicialização e ter a opção de tirar a capa do álbum do artista da tela de bloqueio, fica muito feio a foto do álbum esticada quando a música é reproduzida.	Positivo
É legal o app, só falta removerem das músicas recomendadas as músicas que já escutamos, porque só aparece música repetida (As mais famosas) e eu já conheço todas elas. Spotify tem uma database legal, só falta usar bem ela.	Neutro
Não sei o que vcs fizeram no último mês ou nas últimas atualizações, simplesmente não consigo mais ouvir o Spotify, tanto pelo wi-fi quanto pelos dados móveis, a tela inicial fica travada e preta sem resposta nenhuma do app!! Por favor arrumem esse bug pq é um aplicativo pago e música é sagrada!	Positivo
O aplicativo consome muita energia e sempre a reprodução de músicas é interrompida. Com isso, tenho de reiniciar o aplicativo constantemente. Isso ocorre independentemente do modo de economia de energia estar ativado ou não. Por favor, resolvam os problemas que causam a pausa aleatória das músic…	Negativo
O aplicativo sempre foi bom. Porém agora esta apresentado bugs ao passar rapidamente para outra faixa musical o spotify fica travado, mas tocando música. Ou para a música automaticamente as vezes. Ou muda ou eu mudo.	Negativo
Vendem um plano familiar, me fazendo gastar mais, e não consigo adicionar os meus familiares que moram comigo pq o app não tem um sistema eficiente para verificar endereços... Ridículo! Estou mudando para o Deezer!	Negativo
Eu estou tendo alguns problemas pra conectar a minha conta. Toda vez que eu deixo minha conta offline pra ouvir as músicas baixadas, ao retornar para o app , ele desconecta e diz que eu tenho que ficar online para logar.	Positivo
The new august 13th update needs fixing. Music won't pause when I watch videos and also I need to go to the app to pause it cuz it doesn't appear in the notification bar.	Negativo
O app é muito bom, mas eu me mudei pra outro pais e o app saiu da minha conta e nao consigo entra de novo, pois fala que eu estou viajando e que eu tenho que entrar no site pra falar onde eu estou e quando eu vou entrar no site, fala que o site não esta disponível. Eu recomendo, mas por favor ar…	Negativo
Por que toda vez que vai trocar de cartão, não fica salvo a família?? Toda vida tenho que convidar todo mundo de novo. Por que não adota o modelo da Netflix? É rápido e fácil!	Neutro
Não consigo mais abrir o aplicativo com o meu usuário e quando tento fazer um novo cadastro, sempre aparece mensagem de erro ou usuário já cadastrado. Também não me possibilita redefinir senha. Adoro o app, mas no momento não consigo utilizá-lo.	Negativo
A gente tem um controle parcial do app ppr que a gente so pode muda apenas 6 a7 musicas depois trava eagente tem que ser obrigado a ouvir musicas que a gente nao quer ouvir	Neutro
